LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;2 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;MSL;MSL
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Temperature;Temperature;Relative Humidity;Relative Humidity;Mean Sea Level Pressure;Mean Sea Level Pressure
UNIT;;;;;°C;%;hPa;°C;°C;%;%;hPa;hPa
AGGREGATION;;;;;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL]
1999;03;24;00;00;10.07;80.29;1014.89;16.88;4.78;100.00;57.00;1019.10;1010.40
1999;03;25;00;00;9.75;74.75;1006.98;17.71;0.28;98.00;43.00;1012.10;1002.50
1999;03;26;00;00;10.42;91.04;1003.94;12.42;9.06;100.00;80.00;1005.00;1002.60
1999;03;27;00;00;6.93;92.12;1002.55;8.68;2.70;98.00;84.00;1005.00;1000.10
1999;03;28;00;00;4.91;87.79;1011.13;7.70;2.51;97.00;74.00;1017.90;1005.10
1999;03;29;00;00;7.86;83.04;1019.34;12.13;4.22;96.00;64.00;1020.30;1018.30
1999;03;30;00;00;10.20;81.33;1019.50;13.56;7.05;98.00;62.00;1020.60;1017.80
1999;03;31;00;00;10.78;81.21;1018.61;16.29;5.60;100.00;54.00;1021.20;1015.80
1999;04;01;00;00;11.15;77.12;1015.89;20.17;3.38;100.00;47.00;1018.30;1013.20
1999;04;02;00;00;12.51;79.92;1016.87;20.10;6.14;98.00;48.00;1020.80;1015.10
1999;04;03;00;00;13.07;85.96;1022.87;16.18;11.21;97.00;67.00;1023.90;1021.20
1999;04;04;00;00;13.00;84.75;1026.48;15.32;11.22;97.00;70.00;1029.20;1024.10
1999;04;05;00;00;14.36;73.96;1029.15;18.31;11.15;90.00;58.00;1030.50;1027.90
1999;04;06;00;00;15.13;73.42;1025.45;21.57;6.68;94.00;50.00;1029.30;1020.30
1999;04;07;00;00;12.02;86.12;1017.03;14.59;8.25;96.00;70.00;1020.00;1014.30
1999;04;08;00;00;8.43;84.04;1021.04;11.53;6.63;98.00;62.00;1024.00;1018.50
1999;04;09;00;00;9.51;83.88;1023.78;11.98;6.90;96.00;67.00;1024.90;1022.10
1999;04;10;00;00;12.71;72.83;1020.71;17.93;7.79;99.00;48.00;1023.20;1017.90
1999;04;11;00;00;9.63;82.96;1019.41;11.17;7.81;97.00;65.00;1021.50;1016.90
1999;04;12;00;00;8.24;77.62;1008.33;11.18;5.68;96.00;59.00;1019.20;1000.20
1999;04;13;00;00;6.45;89.04;1003.67;8.92;4.38;96.00;79.00;1007.60;1000.10
1999;04;14;00;00;6.89;72.17;1002.15;11.63;-0.30;97.00;42.00;1009.30;995.40
1999;04;15;00;00;4.22;79.71;1006.68;7.85;2.08;96.00;55.00;1009.50;998.50
1999;04;16;00;00;4.78;82.96;1007.74;7.76;2.42;96.00;62.00;1009.50;1006.70
1999;04;17;00;00;7.65;65.54;1005.85;12.46;3.75;82.00;48.00;1009.40;1004.20
1999;04;18;00;00;6.00;82.79;1013.78;9.50;2.18;100.00;66.00;1019.40;1010.20
1999;04;19;00;00;5.12;85.21;1019.28;8.75;1.48;97.00;67.00;1020.80;1018.30
1999;04;20;00;00;8.09;79.17;1014.12;14.36;-1.20;100.00;53.00;1020.50;1008.30
1999;04;21;00;00;11.45;93.58;1009.25;13.77;9.41;100.00;81.00;1013.00;1007.40
1999;04;22;00;00;11.63;83.08;1015.48;15.43;8.40;100.00;58.00;1018.10;1013.00
1999;04;23;00;00;11.78;80.17;1014.48;16.03;7.16;97.00;59.00;1017.90;1011.50
1999;04;24;00;00;9.46;79.83;1017.37;12.29;7.41;93.00;65.00;1019.00;1014.90
1999;04;25;00;00;11.37;78.46;1015.59;15.12;8.12;91.00;68.00;1018.90;1012.50
1999;04;26;00;00;13.75;75.54;1012.01;19.00;7.07;100.00;54.00;1013.80;1010.60
1999;04;27;00;00;14.07;83.08;1014.18;18.43;9.98;100.00;60.00;1016.40;1012.40
1999;04;28;00;00;13.99;83.29;1017.03;18.70;9.72;98.00;65.00;1019.50;1013.50
1999;04;29;00;00;15.69;81.46;1010.32;23.29;6.83;98.00;59.00;1013.90;1006.80
1999;04;30;00;00;15.89;84.00;1014.92;20.11;12.95;100.00;58.00;1016.90;1012.40
1999;05;01;00;00;15.51;79.17;1017.82;21.18;9.90;100.00;54.00;1019.10;1016.70
1999;05;02;00;00;15.87;79.75;1017.21;22.21;10.10;100.00;56.00;1019.40;1013.70
1999;05;03;00;00;16.78;77.62;1016.16;23.40;9.65;100.00;53.00;1018.90;1012.80
1999;05;04;00;00;17.21;81.58;1008.60;21.86;9.98;97.00;67.00;1012.70;1004.60
1999;05;05;00;00;17.50;82.92;1010.41;19.78;15.40;96.00;71.00;1013.40;1006.90
1999;05;06;00;00;16.86;82.79;1015.45;20.08;14.76;98.00;64.00;1016.70;1013.60
1999;05;07;00;00;17.58;76.08;1014.13;23.12;10.71;100.00;52.00;1017.30;1010.30
1999;05;08;00;00;15.55;84.79;1015.99;18.04;12.04;97.00;64.00;1020.30;1012.50
1999;05;09;00;00;15.10;79.12;1019.78;21.25;9.51;100.00;53.00;1022.50;1016.50
1999;05;10;00;00;17.13;77.25;1017.47;24.81;9.47;100.00;45.00;1018.90;1015.80
1999;05;11;00;00;17.35;86.21;1016.10;20.51;14.70;98.00;61.00;1018.60;1013.30
1999;05;12;00;00;16.84;94.71;1012.70;18.29;15.62;98.00;87.00;1014.10;1010.90
1999;05;13;00;00;16.03;88.96;1013.42;18.12;14.08;98.00;80.00;1014.40;1012.40
1999;05;14;00;00;14.27;90.29;1012.31;16.19;12.04;98.00;81.00;1014.60;1010.60
1999;05;15;00;00;13.10;78.75;1014.68;16.21;10.07;92.00;64.00;1015.30;1012.60
1999;05;16;00;00;12.39;75.79;1014.78;15.79;8.66;93.00;61.00;1016.20;1013.30
1999;05;17;00;00;12.54;84.67;1010.85;20.18;6.53;96.00;65.00;1013.70;1007.30
1999;05;18;00;00;15.72;82.08;1011.02;21.38;9.62;98.00;61.00;1012.20;1009.50
1999;05;19;00;00;14.89;87.46;1011.92;20.84;9.16;97.00;71.00;1016.00;1008.50
1999;05;20;00;00;12.79;86.04;1014.00;17.07;8.42;98.00;63.00;1016.20;1011.40
1999;05;21;00;00;13.42;90.38;1014.32;15.51;11.58;95.00;83.00;1017.40;1012.20
1999;05;22;00;00;14.12;89.12;1019.60;15.13;12.89;96.00;77.00;1022.20;1017.80
1999;05;23;00;00;14.53;75.83;1023.16;17.32;11.34;90.00;68.00;1023.80;1022.60
1999;05;24;00;00;16.17;79.83;1021.05;21.98;9.13;100.00;61.00;1024.20;1017.90
1999;05;25;00;00;17.12;82.83;1019.37;20.85;13.63;100.00;64.00;1020.50;1018.50
1999;05;26;00;00;18.39;78.46;1019.34;23.61;13.43;100.00;56.00;1021.20;1017.40
1999;05;27;00;00;20.74;74.46;1018.19;27.22;13.08;99.00;48.00;1020.10;1016.40
1999;05;28;00;00;21.32;75.54;1021.64;25.38;16.83;92.00;59.00;1023.30;1018.80
1999;05;29;00;00;21.91;72.88;1019.59;28.28;13.49;100.00;47.00;1022.20;1017.00
1999;05;30;00;00;23.35;73.00;1016.11;28.87;17.35;93.00;50.00;1017.80;1014.50
1999;05;31;00;00;21.87;79.92;1019.13;25.82;18.84;88.00;69.00;1020.50;1017.30
1999;06;01;00;00;22.83;75.50;1018.45;27.30;16.61;100.00;54.00;1019.80;1016.40
1999;06;02;00;00;21.70;81.71;1014.54;29.81;16.56;100.00;55.00;1017.60;1011.10
1999;06;03;00;00;18.44;75.38;1015.92;24.35;11.14;97.00;49.00;1019.80;1011.10
1999;06;04;00;00;14.93;78.25;1015.52;18.53;10.55;96.00;61.00;1016.70;1014.20
1999;06;05;00;00;15.52;81.08;1010.86;22.46;7.81;98.00;58.00;1015.10;1007.90
1999;06;06;00;00;14.26;87.62;1012.04;17.61;11.74;98.00;61.00;1014.80;1008.60
1999;06;07;00;00;16.74;74.75;1015.64;20.97;12.53;91.00;53.00;1016.40;1014.50
1999;06;08;00;00;14.38;81.08;1022.30;15.64;13.52;98.00;63.00;1025.90;1016.60
1999;06;09;00;00;14.79;70.88;1025.47;18.74;11.85;86.00;61.00;1026.80;1022.90
1999;06;10;00;00;16.15;84.50;1022.84;18.96;12.61;98.00;70.00;1023.90;1022.00
1999;06;11;00;00;15.92;83.92;1022.19;18.38;13.92;99.00;66.00;1022.70;1020.90
1999;06;12;00;00;16.21;80.38;1021.60;19.58;13.16;96.00;66.00;1022.60;1020.20
1999;06;13;00;00;16.39;81.33;1020.39;20.71;11.33;99.00;61.00;1021.70;1019.20
1999;06;14;00;00;15.65;93.29;1020.17;18.07;12.69;100.00;86.00;1020.60;1018.40
1999;06;15;00;00;17.39;87.50;1021.34;19.87;14.71;98.00;69.00;1022.80;1020.10
1999;06;16;00;00;17.61;83.25;1021.75;20.15;14.29;94.00;75.00;1022.50;1020.40
1999;06;17;00;00;18.44;80.96;1020.88;21.64;15.49;97.00;63.00;1022.10;1018.90
1999;06;18;00;00;17.36;75.08;1020.07;20.49;10.32;92.00;61.00;1023.10;1018.90
1999;06;19;00;00;13.58;73.33;1021.70;17.58;7.41;89.00;61.00;1023.60;1020.20
1999;06;20;00;00;16.28;74.58;1017.47;22.03;9.04;100.00;57.00;1021.00;1014.50
1999;06;21;00;00;13.53;81.17;1016.26;16.02;10.10;97.00;58.00;1020.30;1012.50
1999;06;22;00;00;11.57;77.96;1022.67;14.80;9.36;96.00;59.00;1023.60;1020.70
1999;06;23;00;00;14.11;73.00;1021.00;20.70;6.31;100.00;51.00;1023.80;1018.10
1999;06;24;00;00;16.53;73.75;1022.19;21.37;9.89;95.00;58.00;1023.50;1021.30
1999;06;25;00;00;17.87;73.08;1019.10;23.96;10.22;100.00;49.00;1022.90;1015.50
1999;06;26;00;00;20.58;75.71;1011.60;27.70;12.03;100.00;53.00;1015.70;1008.20
1999;06;27;00;00;20.15;83.12;1009.76;23.54;16.78;98.00;64.00;1010.80;1008.00
1999;06;28;00;00;16.70;75.88;1017.16;19.63;12.92;98.00;57.00;1020.60;1011.00
1999;06;29;00;00;18.71;74.92;1020.28;24.51;10.88;100.00;55.00;1021.70;1019.10
1999;06;30;00;00;18.41;82.79;1021.33;20.46;15.14;99.00;73.00;1023.40;1020.40
1999;07;01;00;00;19.01;76.08;1020.83;24.36;12.71;100.00;56.00;1022.90;1018.70
1999;07;02;00;00;22.28;71.33;1016.20;28.10;14.32;100.00;52.00;1019.00;1013.30
1999;07;03;00;00;24.54;70.67;1012.48;31.16;14.76;97.00;49.00;1014.60;1011.20
1999;07;04;00;00;26.56;67.67;1009.90;31.89;18.79;98.00;44.00;1012.00;1007.20
1999;07;05;00;00;22.20;83.12;1010.14;26.39;17.67;98.00;66.00;1012.80;1008.60
1999;07;06;00;00;17.38;90.21;1015.99;18.91;15.89;98.00;76.00;1019.50;1013.00
1999;07;07;00;00;17.22;88.08;1022.75;19.58;15.33;97.00;73.00;1025.10;1019.80
1999;07;08;00;00;18.44;79.62;1024.71;22.48;13.89;99.00;61.00;1025.70;1023.90
1999;07;09;00;00;17.93;80.71;1021.16;21.89;12.44;98.00;65.00;1024.00;1018.70
1999;07;10;00;00;18.48;88.88;1015.15;22.90;12.73;98.00;74.00;1018.10;1012.10
1999;07;11;00;00;20.98;87.71;1014.12;24.07;18.60;98.00;71.00;1014.80;1013.40
1999;07;12;00;00;20.39;90.71;1012.53;22.43;17.95;100.00;81.00;1013.60;1011.20
1999;07;13;00;00;20.29;88.29;1010.34;24.32;16.93;100.00;78.00;1012.00;1008.80
1999;07;14;00;00;18.10;82.33;1012.17;20.19;15.07;96.00;64.00;1015.50;1009.30
1999;07;15;00;00;17.25;77.62;1016.69;19.67;14.76;89.00;66.00;1017.90;1015.50
1999;07;16;00;00;18.11;76.92;1018.90;23.09;11.60;100.00;55.00;1021.30;1017.90
1999;07;17;00;00;20.19;75.08;1018.61;26.31;13.02;99.00;50.00;1021.00;1016.20
1999;07;18;00;00;23.21;72.50;1016.11;29.26;15.86;100.00;46.00;1017.70;1014.60
1999;07;19;00;00;23.19;72.96;1015.92;28.29;18.27;95.00;51.00;1017.60;1014.60
1999;07;20;00;00;23.04;70.79;1016.17;27.94;18.08;92.00;48.00;1016.90;1015.50
1999;07;21;00;00;20.17;77.58;1017.53;24.40;15.78;90.00;60.00;1018.80;1016.20
1999;07;22;00;00;17.25;73.12;1018.18;21.23;14.08;90.00;52.00;1021.00;1016.70
1999;07;23;00;00;14.92;81.75;1022.31;17.76;12.06;92.00;67.00;1024.30;1020.80
1999;07;24;00;00;16.43;78.00;1022.36;21.80;10.41;100.00;59.00;1024.50;1020.10
1999;07;25;00;00;18.34;73.33;1018.44;25.39;9.32;100.00;51.00;1021.60;1015.70
1999;07;26;00;00;21.15;78.21;1016.59;27.60;14.56;99.00;56.00;1018.30;1015.10
1999;07;27;00;00;22.42;75.71;1015.24;27.91;16.48;100.00;51.00;1017.30;1013.20
1999;07;28;00;00;20.58;85.71;1014.00;23.86;17.53;98.00;73.00;1014.70;1013.00
1999;07;29;00;00;21.07;75.12;1014.82;26.41;15.03;100.00;53.00;1016.40;1013.70
1999;07;30;00;00;20.44;74.04;1014.78;26.28;14.23;100.00;50.00;1016.40;1012.90
1999;07;31;00;00;19.75;71.92;1013.11;25.82;13.36;100.00;44.00;1014.90;1011.10
1999;08;01;00;00;21.04;66.88;1013.91;26.60;13.45;100.00;43.00;1015.10;1013.00
1999;08;02;00;00;21.37;66.88;1014.28;27.33;13.66;98.00;44.00;1016.20;1012.30
1999;08;03;00;00;20.48;74.58;1014.48;25.13;14.52;93.00;60.00;1015.60;1013.60
1999;08;04;00;00;22.93;75.42;1012.14;29.65;15.73;99.00;51.00;1014.40;1010.10
1999;08;05;00;00;22.78;80.79;1013.12;26.73;19.47;100.00;58.00;1014.40;1011.50
1999;08;06;00;00;23.88;77.42;1011.30;28.88;19.31;100.00;52.00;1014.20;1008.50
1999;08;07;00;00;23.27;74.21;1008.34;26.62;20.47;96.00;53.00;1010.30;1005.20
1999;08;08;00;00;21.28;81.00;1004.55;24.86;18.16;96.00;68.00;1005.40;1003.10
1999;08;09;00;00;23.81;73.79;1006.40;27.41;18.28;99.00;49.00;1007.50;1005.00
1999;08;10;00;00;19.63;77.12;1012.85;23.63;14.94;97.00;55.00;1017.60;1007.30
1999;08;11;00;00;17.67;76.58;1018.64;21.47;14.17;91.00;61.00;1019.50;1017.10
1999;08;12;00;00;16.17;86.29;1016.68;19.08;13.29;100.00;70.00;1018.60;1015.30
1999;08;13;00;00;17.04;73.08;1015.71;20.66;12.13;99.00;54.00;1017.00;1014.20
1999;08;14;00;00;17.39;73.79;1011.35;23.66;10.92;96.00;51.00;1014.60;1008.70
1999;08;15;00;00;18.87;70.88;1011.60;22.43;16.30;94.00;53.00;1013.60;1008.80
1999;08;16;00;00;17.22;80.33;1010.36;19.55;15.56;95.00;65.00;1012.10;1007.90
1999;08;17;00;00;17.24;79.71;1010.22;19.66;15.12;96.00;62.00;1010.80;1009.60
1999;08;18;00;00;17.72;81.25;1008.60;24.39;13.47;95.00;55.00;1013.10;1006.20
1999;08;19;00;00;16.75;71.71;1015.97;22.42;8.38;97.00;51.00;1018.20;1013.80
1999;08;20;00;00;19.49;57.96;1018.67;23.82;15.04;70.00;48.00;1020.20;1017.40
1999;08;21;00;00;17.00;67.21;1019.98;22.59;10.87;89.00;45.00;1021.30;1018.40
1999;08;22;00;00;16.61;72.71;1019.15;23.07;8.34;97.00;49.00;1021.50;1017.00
1999;08;23;00;00;19.24;70.88;1017.21;25.63;10.97;100.00;48.00;1019.40;1015.20
1999;08;24;00;00;22.33;77.17;1016.22;27.82;17.67;97.00;59.00;1017.20;1014.30
